%2.2.4
(h = 0.250000)
0.250000, 0.781250, -0.002449
0.500000, 0.610352, -0.003821
0.750000, 0.476837, -0.004471
1.000000, 0.372529, -0.004650

(h = 0.125000)
0.125000, 0.882812, -0.000316
0.250000, 0.779358, -0.000557
0.375000, 0.688027, -0.000738
0.500000, 0.607399, -0.000868
0.625000, 0.536219, -0.000958
0.750000, 0.473381, -0.001014
0.875000, 0.417907, -0.001045
1.000000, 0.368933, -0.001054

(h = 0.062500)
0.062500, 0.939453, -0.000040
0.125000, 0.882572, -0.000075
0.187500, 0.829135, -0.000106
0.250000, 0.778934, -0.000133
0.312500, 0.731772, -0.000156
0.375000, 0.687465, -0.000176
0.437500, 0.645841, -0.000193
0.500000, 0.606738, -0.000207
0.562500, 0.570002, -0.000219
0.625000, 0.535490, -0.000228
0.687500, 0.503068, -0.000236
0.750000, 0.472608, -0.000242
0.812500, 0.443993, -0.000246
0.875000, 0.417111, -0.000249
0.937500, 0.391856, -0.000251
1.000000, 0.368131, -0.000251
