%2.2.2
(h = 0.250000)
0.250000, 0.750000, 0.028801
0.500000, 0.562500, 0.044031
0.750000, 0.421875, 0.050492
1.000000, 0.316406, 0.051473

(h = 0.125000)
0.125000, 0.875000, 0.007497
0.250000, 0.765625, 0.013176
0.375000, 0.669922, 0.017367
0.500000, 0.586182, 0.020349
0.625000, 0.512909, 0.022352
0.750000, 0.448795, 0.023571
0.875000, 0.392696, 0.024166
1.000000, 0.343609, 0.024271

(h = 0.062500)
0.062500, 0.937500, 0.001913
0.125000, 0.878906, 0.003591
0.187500, 0.823975, 0.005055
0.250000, 0.772476, 0.006325
0.312500, 0.724196, 0.007419
0.375000, 0.678934, 0.008355
0.437500, 0.636501, 0.009148
0.500000, 0.596719, 0.009811
0.562500, 0.559425, 0.010358
0.625000, 0.524460, 0.010801
0.687500, 0.491682, 0.011150
0.750000, 0.460952, 0.011415
0.812500, 0.432142, 0.011605
0.875000, 0.405133, 0.011729
0.937500, 0.379812, 0.011793
1.000000, 0.356074, 0.011805
